HHID,EAID,Region,riceSystem,SSR_Yha,BRR_Yha,ZCC_Yha,rateNPK,rateUrea,ureaBRR,NPKBRR,rateN,rateN_BRR,useN_effSSR,plot,useN
SGHHNG000422,SGEANG000104,Region1,rainfedLowland,2.917615253,3.173158942,2.079639668,183,92,87,267,67.94,77.4,1.94711287,T3,40.99688556
SGHHNG000425,SGEANG000104,Region1,rainfedLowland,3.289403518,3.635524483,2.125336284,183,92,87,267,67.94,77.4,1.445700851,T3,46.97060056
SGHHNG000431,SGEANG000105,Region2,rainfedLowland,4.12011782,4.598997346,4.27626069,80,77,87,267,46.62,77.4,28.95804526,T3,59.41857036
SGHHNG000432,SGEANG000105,Region2,rainfedLowland,6.116365233,5.299686946,3.899382897,80,77,87,267,46.62,77.4,62.72475786,T3,68.47140757
SGHHNG000434,SGEANG000105,Region2,rainfedLowland,5.015194346,5.153148911,3.644509862,80,77,87,267,46.62,77.4,40.997875,T3,66.57815131
SGHHNG000436,SGEANG000105,Region2,rainfedLowland,5.154665882,4.623799705,3.72614841,80,77,87,267,46.62,77.4,50.82867945,T3,59.73901428
SGHHNG000449,SGEANG000105,Region2,rainfedLowland,5.963232682,5.427766241,3.368258677,80,77,87,267,46.62,77.4,57.78529011,T3,70.12617883
SGHHNG000453,SGEANG000106,Region2,rainfedLowland,5.756693981,4.948115983,3.332860006,100,95,87,267,57.7,77.4,35.84024602,T3,63.92914707
SGHHNG000455,SGEANG000106,Region2,rainfedLowland,3.329450102,2.601362069,2.90825183,80,77,87,267,46.62,77.4,37.80744704,T3,33.60932906
SGHHNG000456,SGEANG000106,Region2,rainfedLowland,4.589056924,3.471044776,2.377938144,80,77,87,267,46.62,77.4,53.58982972,T3,44.84553974
SGHHNG000457,SGEANG000106,Region2,rainfedLowland,3.544328859,2.859671766,2.111495168,80,77,87,267,46.62,77.4,39.0792664,T3,36.94666365
SGHHNG000460,SGEANG000106,Region2,rainfedLowland,2.955202995,4.526613591,4.049639794,80,77,87,267,46.62,77.4,4.905787891,T3,58.48337973
SGHHNG000462,SGEANG000106,Region2,rainfedLowland,1.101087648,1.028973913,1.296146257,80,77,87,267,46.62,77.4,10.32411707,T3,13.2942366
SGHHNG000468,SGEANG000106,Region2,rainfedLowland,3.621637092,3.281522669,4.109461078,80,77,87,267,46.62,77.4,35.2872596,T3,42.39693371
SGHHNG000480,SGEANG000109,Region3,irrigated,6.497958524,5.467386107,NA,NA,175,87,267,NA,77.4,NA,T3,70.63806339
SGHHNG000481,SGEANG000109,Region3,irrigated,6.969552834,6.475278015,NA,40,207,87,267,100.82,77.4,-14.53124946,T3,83.65992268
SGHHNG000482,SGEANG000109,Region3,irrigated,5.839499146,5.071784811,NA,NA,175,87,267,NA,77.4,NA,T3,65.52693555
SGHHNG000483,SGEANG000109,Region3,irrigated,6.802044393,6.228178895,NA,NA,175,87,267,NA,77.4,NA,T3,80.46742758
SGHHNG000484,SGEANG000109,Region3,irrigated,6.898153034,6.241673932,NA,NA,175,87,267,NA,77.4,NA,T3,80.64178207
SGHHNG000485,SGEANG000109,Region3,irrigated,4.801023018,4.528360798,NA,7,195,87,267,90.68,77.4,-5.561279687,T3,58.50595346
SGHHNG000486,SGEANG000109,Region3,irrigated,6.422260274,5.907006005,NA,NA,175,87,267,NA,77.4,NA,T3,76.31790704
SGHHNG000487,SGEANG000109,Region3,irrigated,6.410670471,6.05257732,NA,7,195,87,267,90.68,77.4,-7.503145471,T3,78.19867338
SGHHNG000488,SGEANG000109,Region3,irrigated,5.403195266,5.04973262,NA,40,207,87,267,100.82,77.4,-11.64952931,T3,65.24202352
SGHHNG000490,SGEANG000109,Region3,irrigated,5.358836815,4.723360713,4.17025641,NA,175,87,267,NA,77.4,NA,T3,61.02533221
