,household,enumerator,event,region,SSR_Yplot,BRR_Yplot,ZCC_Yplot,plotL1_BRR,plotL2_BRR,plotW1_BRR,plotW2_BRR,plotL1_SSR,plotL2_SSR,plotW1_SSR,plotW2_SSR,plotL1_ZCC,plotL2_ZCC,plotW1_ZCC,plotW2_ZCC,riceSystem,plotSizeBRR,plotSizeSSR,plotSizeZCC,T1_Yha,T2_Yha,T3_Yha,X,moistZCC,moistBRR,moistSSR,moistureBRR,moistureSSR,moistureZCC,SSR_BRR,SSR_ZCC,BRR_ZCC,incrBRR,incrSSR,eSSR,ecdf,lower,upper
44,SGHHNG000462,SGEANG000106,event6R,Region2,11.13,10.38,6.53,10,10,10,10,10,10,10,10,10,10,5,5,Rainfed lowland,100,100,50,1.101087648,1.028973913,1.296146257,47,14.2,14.8,16,15,15.23333333,14.86666667,0.233333333,0.366666667,0.133333333,-0.267172343,-0.195058608,0.072113735,0.333333333,0,0.70855832
45,SGHHNG000468,SGEANG000106,event6R,Region2,37,33.65,21.07,10,10,10,10,10,10,10,10,10,10,5,5,Rainfed lowland,100,100,50,3.621637092,3.281522669,4.109461078,48,16.4,16.4,16.2,16.9,16.46666667,16.9,-0.433333333,-0.433333333,0,-0.827938409,-0.487823986,0.340114423,0.416666667,0.04144168,0.791891653
46,SGHHNG000480,SGEANG000109,event6R,Region3,65.8,56.5,0,10.2,10.1,10,10,10,10,10.1,10.2,10,10,5,5,Irrigated,101.5,101.5,50,6.497958524,5.467386107,NA,49,0,16.4,14.3,16.06666667,13.73333333,0,-2.333333333,13.73333333,16.06666667,NA,NA,1.030572417,1,0.741122323,1
47,SGHHNG000481,SGEANG000109,event6R,Region3,71.55,66.4,0,10,10,10,10,10,10,10,10,10,10,5,5,Irrigated,100,100,50,6.969552834,6.475278015,NA,50,0,17,17.3,16.9,17.03333333,0,0.133333333,17.03333333,16.9,NA,NA,0.494274819,0.653846154,0.394968477,0.91272383
48,SGHHNG000482,SGEANG000109,event6R,Region3,60.6,54.7,0,10.3,10.2,10.2,10.2,10.2,10,10,10,10,10,5,5,Irrigated,104.55,101,50,5.839499146,5.071784811,NA,51,0,18,17,17.6,17.13333333,0,-0.466666667,17.13333333,17.6,NA,NA,0.767714335,0.884615385,0.625737708,1
49,SGHHNG000483,SGEANG000109,event6R,Region3,68.1,62.3,0,10,10,10,10,10,10,10,10,10,10,5,5,Irrigated,100,100,50,6.802044393,6.228178895,NA,52,0,13.9,14.1,14.03333333,14.13333333,0,0.1,14.13333333,14.03333333,NA,NA,0.573865497,0.730769231,0.471891554,0.989646907
50,SGHHNG000484,SGEANG000109,event6R,Region3,68.8,62.8,0,10,10,10,10,10,10,10,10,10,10,5,5,Irrigated,100,100,50,6.898153034,6.241673932,NA,53,0,14,13.5,14.7,13.7,0,-1,13.7,14.7,NA,NA,0.656479102,0.846153846,0.58727617,1
51,SGHHNG000485,SGEANG000109,event6R,Region3,49.4,45.8,0,10,10,10,10,10,10,10,10,10,10,5,5,Irrigated,100,100,50,4.801023018,4.528360798,NA,54,0,16.6,17.7,15.3,17.3,0,2,17.3,15.3,NA,NA,0.27266222,0.307692308,0.048814631,0.566569984
52,SGHHNG000486,SGEANG000109,event6R,Region3,65.8,60.4,0,10,10,10,10,10,10,10,10,10,10,5,5,Irrigated,100,100,50,6.422260274,5.907006005,NA,55,0,16.7,17.1,16.56666667,16.8,0,0.233333333,16.8,16.56666667,NA,NA,0.515254269,0.692307692,0.433430016,0.951185369
53,SGHHNG000487,SGEANG000109,event6R,Region3,65.7,61.8,0,10,10,10,10,10,10,10,10,10,10,5,5,Irrigated,100,100,50,6.410670471,6.05257732,NA,56,0,15.8,16.8,16.4,16.83333333,0,0.433333333,16.83333333,16.4,NA,NA,0.358093151,0.423076923,0.164199247,0.6819546
